"Año","Trimestre","Departamento","VIS - Policía Nacional","VIS - Ejército Nacional","VIS - Fuerza Aérea Colombiana","VIS - Armada Nacional","VIS - Otros*","No VIS - Policía Nacional","No VIS - Ejército Nacional","No VIS - Fuerza Aérea Colombiana","No VIS - Armada Nacional","No VIS - Otros*"
"2.023","1","AMAZONAS","0","1","0","1","0","0","0","0","0","0"
"2.023","1","ANTIOQUIA","141","97","1","9","0","17","10","0","1","0"
"2.023","1","ARAUCA","1","2","0","0","0","0","0","0","0","0"
"2.023","1","ATLÁNTICO","81","22","4","30","0","3","1","1","2","0"
"2.023","1","BOGOTÁ, D.C.","176","85","12","16","0","32","27","12","11","1"
"2.023","1","BOLÍVAR","46","4","1","46","0","0","2","0","1","0"
"2.023","1","BOYACÁ","61","25","2","2","1","4","9","0","0","0"
"2.023","1","CALDAS","59","14","4","3","0","6","2","0","0","0"
"2.023","1","CAQUETÁ","12","49","0","2","0","0","0","0","0","0"
"2.023","1","CASANARE","14","17","4","0","0","1","0","0","0","0"
"2.023","1","CAUCA","27","18","0","0","0","1","1","0","0","0"
"2.023","1","CESAR","43","40","0","5","0","0","1","0","0","0"
"2.023","1","CHOCÓ","11","5","0","1","0","0","0","0","0","0"
"2.023","1","CÓRDOBA","60","32","0","15","0","1","2","0","1","0"
"2.023","1","CUNDINAMARCA","72","49","8","7","0","5","4","4","1","0"
"2.023","1","GUAVIARE","6","3","0","2","0","0","0","0","0","0"
"2.023","1","HUILA","39","62","1","4","0","3","5","0","0","0"
"2.023","1","LA GUAJIRA","17","11","0","0","0","0","0","0","0","0"
"2.023","1","MAGDALENA","31","11","2","2","0","3","2","0","0","0"
"2.023","1","META","96","53","8","5","0","4","4","1","1","0"
"2.023","1","NARIÑO","26","33","0","1","0","2","1","0","1","0"
"2.023","1","NORTE DE SANTANDER","110","51","0","0","0","4","4","1","2","0"
"2.023","1","PUTUMAYO","10","10","0","2","0","2","1","0","0","0"
"2.023","1","QUINDIO","43","27","1","2","0","2","2","1","0","0"
"2.023","1","RISARALDA","63","19","0","2","0","10","6","1","1","0"
"2.023","1","SANTANDER","126","36","0","9","0","9","4","1","1","0"
"2.023","1","SUCRE","37","9","0","24","0","1","0","0","0","0"
"2.023","1","TOLIMA","70","67","9","8","0","12","12","2","0","0"
"2.023","1","VALLE DEL CAUCA","132","72","7","11","0","6","8","5","2","0"
"2.023","1","VICHADA","0","0","0","2","0","0","0","0","0","0"
"2.023","2","AMAZONAS","2","1","0","0","0","0","0","0","0","0"
"2.023","2","ANTIOQUIA","141","144","4","6","0","4","9","2","0","0"
"2.023","2","ARAUCA","3","3","0","0","0","0","0","0","0","0"
"2.023","2","ATLÁNTICO","81","28","8","22","0","1","1","0","0","0"
"2.023","2","BOGOTÁ, D.C.","152","81","6","15","0","31","30","15","8","1"
"2.023","2","BOLÍVAR","37","6","0","32","0","0","0","0","6","0"
"2.023","2","BOYACÁ","69","39","2","3","0","6","18","0","2","0"
"2.023","2","CALDAS","40","15","2","4","0","4","2","2","0","0"
"2.023","2","CAQUETÁ","4","51","0","1","0","0","1","0","0","0"
"2.023","2","CASANARE","10","47","2","1","0","0","2","0","0","0"
"2.023","2","CAUCA","45","62","0","1","0","1","2","0","0","0"
"2.023","2","CESAR","36","41","0","4","0","1","0","0","1","1"
"2.023","2","CHOCÓ","13","5","0","0","0","0","0","0","0","0"
"2.023","2","CÓRDOBA","46","35","0","20","0","1","3","0","0","1"
"2.023","2","CUNDINAMARCA","92","90","11","13","0","8","14","2","1","0"
"2.023","2","GUAVIARE","3","1","0","0","0","0","0","0","0","0"
"2.023","2","HUILA","24","84","0","4","0","2","6","0","0","0"
"2.023","2","LA GUAJIRA","11","14","0","1","0","0","1","0","0","0"
"2.023","2","MAGDALENA","18","23","0","5","0","1","0","0","0","0"
"2.023","2","META","84","81","4","8","0","8","8","0","1","0"
"2.023","2","NARIÑO","22","21","0","1","0","0","1","0","1","0"
"2.023","2","NORTE DE SANTANDER","70","50","0","3","0","3","1","3","0","0"
"2.023","2","PUTUMAYO","3","8","0","2","0","0","0","0","0","0"
"2.023","2","QUINDIO","41","53","0","0","0","5","3","0","0","0"
"2.023","2","RISARALDA","54","19","3","3","0","2","1","1","0","0"
"2.023","2","SANTANDER","88","45","2","16","0","8","10","1","2","0"
"2.023","2","SUCRE","38","12","0","28","0","0","0","0","0","0"
"2.023","2","TOLIMA","64","126","7","8","0","7","13","4","0","0"
"2.023","2","VALLE DEL CAUCA","124","82","1","13","0","8","5","2","0","0"
"2.023","2","VICHADA","1","0","0","2","0","0","0","0","0","0"
"2.023","3","AMAZONAS","2","2","0","0","0","0","0","0","0","0"
"2.023","3","ANTIOQUIA","119","154","1","11","0","6","11","0","0","0"
"2.023","3","ARAUCA","0","3","0","0","0","0","0","0","0","0"
"2.023","3","ATLÁNTICO","69","30","4","30","0","1","2","1","5","0"
"2.023","3","BOGOTÁ, D.C.","116","82","15","14","0","22","24","11","11","2"
"2.023","3","BOLÍVAR","48","12","0","33","0","2","0","0","5","0"
"2.023","3","BOYACÁ","54","42","0","2","0","3","7","2","0","0"
"2.023","3","CALDAS","41","15","3","2","0","1","1","0","1","0"
"2.023","3","CAQUETÁ","6","42","0","0","0","0","0","0","0","0"
"2.023","3","CASANARE","8","22","0","0","0","0","0","0","0","0"
"2.023","3","CAUCA","36","53","0","1","0","1","3","0","0","0"
"2.023","3","CESAR","29","43","1","2","0","1","1","0","0","0"
"2.023","3","CHOCÓ","7","5","0","0","0","0","0","0","0","0"
"2.023","3","CÓRDOBA","38","49","0","18","0","1","1","0","0","0"
"2.023","3","CUNDINAMARCA","90","86","10","14","0","7","11","0","2","0"
"2.023","3","GUAINÍA","1","0","0","0","0","0","0","0","0","0"
"2.023","3","GUAVIARE","5","2","0","0","0","0","0","0","0","0"
"2.023","3","HUILA","31","66","1","7","0","3","3","0","0","0"
"2.023","3","LA GUAJIRA","7","8","0","0","0","0","0","0","0","0"
"2.023","3","MAGDALENA","27","15","0","3","0","1","2","1","0","0"
"2.023","3","META","85","60","7","8","0","3","10","3","1","0"
"2.023","3","NARIÑO","24","29","0","1","0","3","3","0","0","0"
"2.023","3","NORTE DE SANTANDER","56","60","0","9","0","2","3","0","3","0"
"2.023","3","PUTUMAYO","6","15","0","1","0","0","0","0","0","0"
"2.023","3","QUINDIO","39","31","1","3","0","0","2","0","0","0"
"2.023","3","RISARALDA","38","24","0","7","0","2","3","0","1","0"
"2.023","3","SANTANDER","78","50","1","8","0","7","10","0","2","0"
"2.023","3","SUCRE","31","20","0","30","0","0","1","0","1","0"
"2.023","3","TOLIMA","59","107","6","6","0","3","10","1","2","0"
"2.023","3","VALLE DEL CAUCA","102","93","8","9","0","3","5","2","1","0"
"2.023","3","VICHADA","1","0","0","0","0","0","0","0","0","0"
"2.023","4","AMAZONAS","2","1","0","0","0","0","0","0","0","0"
"2.023","4","ANTIOQUIA","127","120","7","3","0","3","9","2","0","0"
"2.023","4","ARAUCA","1","3","0","0","0","0","0","0","0","0"
"2.023","4","ATLÁNTICO","61","31","3","17","0","2","1","0","2","0"
"2.023","4","BOGOTÁ, D.C.","174","86","10","12","1","25","39","13","10","1"
"2.023","4","BOLÍVAR","35","10","0","36","0","0","1","2","3","0"
"2.023","4","BOYACÁ","55","37","3","1","0","2","8","0","0","0"
"2.023","4","CALDAS","48","15","2","3","0","3","2","0","0","0"
"2.023","4","CAQUETÁ","6","39","0","3","0","0","1","0","0","0"
"2.023","4","CASANARE","15","21","1","0","0","1","2","1","0","0"
"2.023","4","CAUCA","30","43","0","0","0","1","1","0","0","0"
"2.023","4","CESAR","37","52","0","2","0","2","0","0","0","0"
"2.023","4","CHOCÓ","5","5","0","0","0","0","0","0","0","0"
"2.023","4","CÓRDOBA","46","41","0","22","0","4","4","0","0","0"
"2.023","4","CUNDINAMARCA","68","61","13","11","0","6","10","3","3","0"
"2.023","4","GUAINÍA","1","2","0","0","0","0","0","0","0","0"
"2.023","4","GUAVIARE","3","2","0","0","0","0","0","0","0","0"
"2.023","4","HUILA","45","71","2","3","0","0","1","0","0","0"
"2.023","4","LA GUAJIRA","9","12","0","1","0","0","0","0","0","0"
"2.023","4","MAGDALENA","24","15","0","4","0","1","1","0","0","0"
"2.023","4","META","63","61","4","3","0","3","6","1","0","0"
"2.023","4","NARIÑO","30","27","1","2","0","0","4","0","0","0"
"2.023","4","NORTE DE SANTANDER","56","61","0","3","0","2","2","1","0","0"
"2.023","4","PUTUMAYO","5","11","0","3","0","0","0","0","0","0"
"2.023","4","QUINDIO","37","30","1","4","0","3","2","0","0","0"
"2.023","4","RISARALDA","55","13","0","5","0","1","0","2","0","0"
"2.023","4","SANTANDER","76","56","0","11","0","2","4","0","2","1"
"2.023","4","SUCRE","27","12","0","26","0","0","1","0","0","0"
