"Año","Trimestre","Departamento","Nueva- VIS","Nueva- No VIS","Usada - VIS","Usada- No VIS"
"2.024","4","CASANARE","2","1","38","5"
"2.024","4","CAUCA","8","0","83","1"
"2.024","4","CESAR","1","0","105","0"
"2.024","4","CHOCÓ",,"0","11","0"
"2.024","4","CÓRDOBA","7","0","147","6"
"2.024","4","CUNDINAMARCA","11","5","189","19"
"2.024","4","GUAINÍA","0","0","1","0"
"2.024","4","GUAVIARE","1","0","4","0"
"2.024","4","HUILA","12","1","107","8"
"2.024","4","LA GUAJIRA","0","0","19","0"
"2.024","4","MAGDALENA","5","2","61","1"
"2.024","4","META","7","0","129","12"
"2.024","4","NARIÑO","2","0","66","3"
"2.024","4","NORTE DE SANTANDER","7","2","120","7"
"2.024","4","PUTUMAYO","0","0","21","0"
"2.024","4","QUINDIO","4","2","58","7"
"2.024","4","RISARALDA","6","1","72","7"
"2.024","4","SANTANDER","17","3","161","11"
"2.024","4","SUCRE","0","0","118","2"
"2.024","4","TOLIMA","22","7","204","32"
"2.024","4","VALLE DEL CAUCA","25","7","210","19"
"2.024","4","VICHADA","0","0","1","0"
"2.024","3","AMAZONAS","0","0","1","0"
"2.024","3","ANTIOQUIA","13","5","272","21"
"2.024","3","ARAUCA","0","0","5","0"
"2.024","3","ATLÁNTICO","14","2","175","11"
"2.024","3","BOGOTÁ, D.C.","38","24","304","97"
"2.024","3","BOLÍVAR","13","4","105","2"
"2.024","3","BOYACÁ","21","1","119","17"
"2.024","3","CALDAS","3","0","68","7"
"2.024","3","CAQUETÁ","5","0","54","3"
"2.024","3","CASANARE","1","0","35","3"
"2.024","3","CAUCA","7","0","74","1"
"2.024","3","CESAR","5","1","114","3"
"2.024","3","CHOCÓ","0","0","19","1"
"2.024","3","CÓRDOBA","6","0","125","5"
"2.024","3","CUNDINAMARCA","16","6","198","23"
"2.024","3","GUAINÍA","0","0","1","0"
"2.024","3","GUAVIARE","3","0","2","0"
"2.024","3","HUILA","12","0","125","9"
"2.024","3","LA GUAJIRA","0","0","21","2"
"2.024","3","MAGDALENA","3","2","67","5"
"2.024","3","META","2","1","150","10"
"2.024","3","NARIÑO","10","0","56","10"
"2.024","3","NORTE DE SANTANDER","4","2","138","10"
"2.024","3","PUTUMAYO","1","0","19","0"
"2.024","3","QUINDIO","3","1","58","11"
"2.024","3","RISARALDA","6","0","77","10"
"2.024","3","SANTANDER","15","3","150","15"
"2.024","3","SUCRE","3","0","106","7"
"2.024","3","TOLIMA","16","4","219","22"
"2.024","3","VALLE DEL CAUCA","33","4","230","20"
"2.024","3","VICHADA","0","0","2","0"
"2.025","1","ANTIOQUIA","7","1","179","14"
"2.025","1","ARAUCA","0","0","3","0"
